Portrait Flashing List,Price,Viridian IDs,,,Landscape Flashing List,Price,Viridian IDs,,,Sarking Bracket List,Price,Viridian IDs,,,PV Panel List,Price,Watts,h,w,Viridian IDs
F16-TL,94.19,F16-TL,,,F16-LL,114.19,F16-LL,,,SP-5,4.29,SP-5,,,PV16-320,215,320,1640,992,PV16-320
F16-TC,94.19,F16-TC,,,F16-LC,114.19,F16-LC,,,SP-5J,6.86,SP-5J,,,PV16-300,172,300,1640,992,PV16-300
F16-TR,94.19,F16-TR,,,F16-LR,114.19,F16-LR,,,B22,18,B22,,,PV16-270P-B,160.81,270,1640,992,PV16-270P-B
F16-TY,64.01,F16-TY,,,F16-LY,58.19,F16-LY,,,B22J,26,B22J,,,PV16-270P-W,155.81,270,200000,2000000,PV16-270P-W
F16-J,51.09,F16-J,,,F16-LJ,48.19,F16-LJ,,,SB16-L,8.4,SB16-L,,,PV16-335-G1,123,123,1,1,PV16-335-G1
VAT-16,131.81,VAT-16,,,VAL-16,139.19,VAL-16,,,SB16-C,8.4,SB16-C,,,PV16-340-G1W,133,22,22,22,PV16-340-G1W
F16-CLT,66,F16-CLT,,,F16-LCLT,71,F16-LCLT,,,SB16-R,8.4,SB16-R,,,,,,,,
F16-CRT,66,F16-CRT,,,F16-LCRT,71,F16-LCRT,,,SB16-Y,8.4,SB16-Y,,,,,,,,
F16-CRB,49.5,F16-CRB,,,F16-LCRB,60.5,F16-LCRB,,,SB16-J,8.4,SB16-J,,,,,,,,
F16-CLB,110,F16-CLB,,,F16-LCLB,115,F16-LCLB,,,SB16-AT,8.4,SB16-AT,,,,,,,,
F16-CLB-S,110,F16-CLB-S,,,F16-LCLB-S,115,F16-LCLB-S,,,SB16-CLB,4.2,SB16-CLB,,,,,,,,
F16-VC,98.21,F16-VC,,,F16-LL-G1,114.19,F16-LL-G1,,,,,,,,,,,,,
F16-VB,98.21,F16-VB,,,F16-LC-G1,114.19,F16-LC-G1,,,,,,,,,,,,,
F16-TL-G1,94.19,F16-TL-G1,,,F16-LR-G1,114.19,F16-LR-G1,,,,,,,,,,,,,
F16-TC-G1,94.19,F16-TC-G1,,,F16-LY-G1,58.19,F16-LY-G1,,,,,,,,,,,,,
F16-TR-G1,94.19,F16-TR-G1,,,F16-LJ-G1,48.19,F16-LJ-G1,,,,,,,,,,,,,
F16-TY-G1,64.01,F16-TY-G1,,,VAL-16-G1,139.19,VAL-16-G1,,,,,,,,,,,,,
F16-J-G1,0.1,F16-J-G1,,,F16-LCLT-G1,71,F16-LCLT-G1,,,,,,,,,,,,,
VAT-16-G1,131.81,VAT-16-G1,,,F16-LCRT-G1,71,F16-LCRT-G1,,,,,,,,,,,,,
F16-CLT-G1,66,F16-CLT-G1,,,F16-LCRB-G1,60.5,F16-LCRB-G1,,,,,,,,,,,,,
F16-CRT-G1,66,F16-CRT-G1,,,F16-LCLB-G1,115,F16-LCLB-G1,,,,,,,,,,,,,
F16-CRB-G1,49.5,F16-CRB-G1,,,F16-LCLB-S-G1,115,F16-LCLB-S-G1,,,,,,,,,,,,,
F16-CLB-G1,110,F16-CLB-G1,,,,,,,,,,,,,,,,,,
F16-CLB-S-G1,110,F16-CLB-S-G1,,,,,,,,,,,,,,,,,,
F16-VC-G1,98.21,F16-VC-G1,,,,,,,,,,,,,,,,,,
F16-VB-G1,98.21,F16-VB-G1,,,,,,,,,,,,,,,,,,
