En,Nl,DE,NO
Portrait,Portretgericht,Hochformat,Portrett
Landscape,Landschapsgericht,Querformat,Landskap
Panels,Zonnepanelen,Solarmodule,Panel
Batten Thickness (mm),Dikte panlatten (mm),Ziegellattendicke (mm),Lekte tykkelse (mm)
To outside of flashing,Maatvoering,Aufmaß,Mål ytterkant
"Add a roof window, type","Add a roof window, type Nl","Addieren sie ein dach fenster, geben sie ein","Legg til et takvindu, type"
Total,Totaal,Gesamtsumme,Totalt
Summary,Samenvatting,Zusammenfassung,Oppsummering
Configurator,Configurator,Konfigurator,Konfigurator
Discount applied,Discount applied Nl,Rabatt angewendet,Rabatt lagt til
Power,Power Nl,Leistung,Kraft
Cost,Cost Nl,Preis,Kostnad
Number,Number Nl,Anzahl,Antall
Prices exclude VAT and delivery,Prices exclude VAT and delivery Nl,Preise ohne MwSt. und lieferung,MVA og levering ikke inkludert
Code,Code Nl,Code,Kode
Description,Omschrijving,Beschreibung,Beskrivelse
Price Each,Prijs/stuk,Einzelpreis,Pris stykk
Set,Configuratie,Set,Flate
Item,Item,Artikel,Vare
Kit list copied to clipboard,Kit list copied to clipboard Nl,Kit-liste in zwischenablage kopiert,Pakningssett kopiert til utklippstavlen
Total for this set,Total for this set Nl,Summe für diese gruppe,Total pris for dette settet
Number of sets,Number of sets Nl,Anzahl von gruppen,Antall sett
Your discount,Your discount Nl,Ihr rabatt,Din rabatt
20 pieces per box,20 pieces per box Nl,20 pieces per box DE,20 pieces per box NO
Layout copied to clipboard,Layout copied to clipboard NL,Layout copied to clipboard DE,Layout copied to clipboard NO
Coming soon,Coming soon,Coming soon,Coming soon
Kit List,Kit List,Kit List,Kit List
Click on the grid above to build a layout and create a kit,Click on the grid above to build a layout and create a kit,Click on the grid above to build a layout and create a kit,Click on the grid above to build a layout and create a kit
Project Name,Project Name Nl,Project Name DE,Project Name NO
Kit Name,Kit Name Nl,Kit Name DE,Kit Name NO
