Portrait Flashing List,Price,,,Landscape Flashing List,Price,,,Sarking Bracket List,Price,,,PV Panel List,Price,Watts
F16-TL,105.5,,,F16-LL,127.8967742,,,SP-5,4.8,,,PV16-320,264.1,320
F16-TC,105.5,,,F16-LC,127.8967742,,,SP-5J,7.68,,,PV16-300,209.97,300
F16-TR,105.5,,,F16-LR,127.8967742,,,B22,20.16,,,PV16-270P-B,180.1,270
F16-TY,71.7,,,F16-LY,65.17677419,,,B22J,29.12,,,PV16-270P-W,174.5,270
F16-J,57.22,,,F16-LJ,53.97677419,,,SB16-L,9.408,,,,,
VAT-16,147.63,,,VAL-16,155.8967742,,,SB16-C,9.408,,,,,
F16-CLT,73.92,,,F16-LCLT,79.52,,,SB16-R,9.408,,,,,
F16-CRT,73.92,,,F16-LCRT,79.52,,,SB16-Y,9.408,,,,,
F16-CRB,55.44,,,F16-LCRB,67.76,,,SB16-J,9.408,,,,,
F16-CLB,123.2,,,F16-LCLB,128.8,,,SB16-AT,9.408,,,,,
F16-CLB-S,123.2,,,F16-LCLB-S,128.8,,,SB16-CLB,4.704,,,,,
F16-VC,109.99,,,,,,,,,,,,,
