Portrait Flashing List,Price,,,Landscape Flashing List,Price,,,Sarking Bracket List,Price,,,PV Panel List,Price,Watts
F16-TL,1182,,,F16-LL,1433,,,SP-5,54,,,PV16-320,2442,320
F16-TC,1182,,,F16-LC,1433,,,SP-5J,87,,,PV16-300,2352,300
F16-TR,1182,,,F16-LR,1433,,,B22,226,,,PV16-270P-B,2018,270
F16-TY,804,,,F16-LY,730,,,B22J,327,,,,,
F16-J,641,,,F16-LJ,605,,,SB16-L,106,,,,,
VAT-16,1654,,,VAL-16,1747,,,SB16-C,106,,,,,
F16-CLT,828,,,F16-LCLT,891,,,SB16-R,106,,,,,
F16-CRT,828,,,F16-LCRT,891,,,SB16-Y,106,,,,,
F16-CRB,621,,,F16-LCRB,759,,,SB16-J,106,,,,,
F16-CLB,1380,,,F16-LCLB,1443,,,SB16-AT,106,,,,,
F16-CLB-S,1380,,,F16-LCLB-S,1443,,,SB16-CLB,53,,,,,
F16-VC,1232,,,,,,,,,,,,,
