Portrait Flashing List,Price,Viridian IDs,,,Landscape Flashing List,Price,Viridian IDs,,,Sarking Bracket List,Price,Viridian IDs,,,PV Panel List,Price,Watts,h,w,Viridian IDs
MAF16-TL,94.19 ,F16-TL,,,MAF16-LL,114.19 ,F16-LL,,,SP-5,4.29,SP-5,,,MAPV16320,235.81,320,1640,992,PV16-320
MAF16-TC,94.19 ,F16-TC,,,MAF16-LC,114.19 ,F16-LC,,,SP-5J,6.86,SP-5J,,,MAPV16300,190.81,300,1640,992,PV16-300
MAF16-TR,94.19 ,F16-TR,,,MAF16-LR,114.19 ,F16-LR,,,B22,18,B22,,,MAPV16270PB,160.81,270,1640,992,PV16-270P-B
MAF16-TY,64.01 ,F16-TY,,,MAF16-LY,58.19 ,F16-LY,,,B22J,26,B22J,,,,,,,,
MAF16-J,51.09 ,F16-J,,,MAF16-LJ,48.19 ,F16-LJ,,,SB16-L,8.4,SB16-L,,,,,,,,
MAVAT16,131.81 ,VAT-16,,,MAVAL16,139.19 ,VAL-16,,,SB16-C,8.4,SB16-C,,,,,,,,
MAF16-CLT,66.00 ,F16-CLT,,,MAF16-LCLT,71.00 ,F16-LCLT,,,SB16-R,8.4,SB16-R,,,,,,,,
MAF16-CRT,66.00 ,F16-CRT,,,MAF16-LCRT,71.00 ,F16-LCRT,,,SB16-Y,8.4,SB16-Y,,,,,,,,
MAF16-CRB,49.50 ,F16-CRB,,,MAF16-LCRB,60.50 ,F16-LCRB,,,SB16-J,8.4,SB16-J,,,,,,,,
MAF16-CLB,110.00 ,F16-CLB,,,MAF16-LCLB,115,F16-LCLB,,,SB16-AT,8.4,SB16-AT,,,,,,,,
MAF16-CLB-S,110.00 ,F16-CLB-S,,,MAF16-LCLB-S,      115.00 ,F16-LCLB-S,,,SB16-CLB,4.2,SB16-CLB,,,,,,,,
F16-VC,98.21,F16-VC,,,F16-LL-G1,129.19,F16-LL-G1,,,,,,,,,,,,,
F16-VBC,98.21,F16-VB,,,F16-LC-G1,129.19,F16-LC-G1,,,,,,,,,,,,,
F16-TL-G1,109.19,F16-TL-G1,,,F16-LR-G1,129.19,F16-LR-G1,,,,,,,,,,,,,
F16-TC-G1,109.19,F16-TC-G1,,,F16-LY-G1,73.19,F16-LY-G1,,,,,,,,,,,,,
F16-TR-G1,109.19,F16-TR-G1,,,F16-LJ-G1,63.19,F16-LJ-G1,,,,,,,,,,,,,
F16-TY-G1,79.01,F16-TY-G1,,,VAL-16-G1,154.19,VAL-16-G1,,,,,,,,,,,,,
F16-J-G1,66.09,F16-J-G1,,,F16-LCLT-G1,71,F16-LCLT-G1,,,,,,,,,,,,,
VAT-16-G1,146.81,VAT-16-G1,,,F16-LCRT-G1,71,F16-LCRT-G1,,,,,,,,,,,,,
F16-CLT-G1,66,F16-CLT-G1,,,F16-LCRB-G1,60.5,F16-LCRB-G1,,,,,,,,,,,,,
F16-CRT-G1,66,F16-CRT-G1,,,F16-LCLB-G1,115,F16-LCLB-G1,,,,,,,,,,,,,
F16-CRB-G1,49.5,F16-CRB-G1,,,F16-LCLB-S-G1,115,F16-LCLB-S-G1,,,,,,,,,,,,,
F16-CLB-G1,110,F16-CLB-G1,,,,,,,,,,,,,,,,,,
F16-CLB-S-G1,110,F16-CLB-S-G1,,,,,,,,,,,,,,,,,,
F16-VC-G1,98.21,F16-VC-G1,,,,,,,,,,,,,,,,,,
F16-VBC-G1,98.21,F16-VB-G1,,,,,,,,,,,,,,,,,,
